"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Mdga1",1.84382773186788,1.43154549860048,1.84382773186788,1.63768661523418
"Msl1",1.84283309961489,1.38694164497785,1.84283309961489,1.61488737229637
"Lrp3",1.84233710849135,1.50082218997659,1.84233710849135,1.67157964923397
"Stk38l",1.4074735705646,1.84136144772896,1.84136144772896,1.62441750914678
"Gas7",0.676329021675006,1.84124129649654,1.84124129649654,1.25878515908577
"Ubp1",1.84122090792246,1.53717421428113,1.84122090792246,1.6891975611018
"Kcng4",1.84099016205126,1.57598691239704,1.84099016205126,1.70848853722415
"Trp63",1.84058548720168,1.41895491746541,1.84058548720168,1.62977020233355
"Eif4a1",1.84039702582938,1.38629391958597,1.84039702582938,1.61334547270768
"Plekhb1",1.83999849139194,1.38413528096994,1.83999849139194,1.61206688618094
"Mt2",1.83990485527855,1.41538690334955,1.83990485527855,1.62764587931405
"Luzp2",1.83974316918539,1.38538769657354,1.83974316918539,1.61256543287946
"Stradb",1.83918965516334,1.60071946910773,1.83918965516334,1.71995456213553
"Garem",0.446986229899194,1.83879693781235,1.83879693781235,1.14289158385577
"Ano5",1.83863937714728,1.50691154981231,1.83863937714728,1.6727754634798
"Phf21a",1.8385705326482,1.38780191960212,1.8385705326482,1.61318622612516
"Tekt1",1.8383483591827,1.44207775168548,1.8383483591827,1.64021305543409
"Fchsd1",0.21904293278076,1.83758889660462,1.83758889660462,1.02831591469269
"Tnpo1",1.83748177627808,1.39201068826587,1.83748177627808,1.61474623227198
"Gdf5",1.83745229554794,1.39789681679838,1.83745229554794,1.61767455617316
"Chd2",1.83727670575976,1.46296073414041,1.83727670575976,1.65011871995009
"Slc10a3",1.83726684242969,1.42808501653538,1.83726684242969,1.63267592948254
"Fnbp4",1.83719391219196,1.52445192911683,1.83719391219196,1.6808229206544
"Hspa5",1.57860654902609,1.83710724664397,1.83710724664397,1.70785689783503
"Crtc3",1.83674573021865,1.38165219588304,1.83674573021865,1.60919896305084
"Pofut2",1.83665481841754,1.44310759478576,1.83665481841754,1.63988120660165
"Ncbp1",1.8362226247988,1.44006556500625,1.8362226247988,1.63814409490252
"Nudt3",1.8353118009878,1.403073751515,1.8353118009878,1.6191927762514
"2010107G23Rik",1.83442215151107,1.38101273043817,1.83442215151107,1.60771744097462
