tissue,name,PC1,pc1_variance_explained,variance_explained,abs_variance_explained,rank
Liver,beta-Damascenone,-0.04174129955605589,0.20931212974484736,3.646920774421158e-4,0.00873696030839571,162
Liver,all-trans-Retinoic acid,-0.04167269207706877,0.20931212974484736,3.6349422102987725e-4,0.008722599930852492,163
Liver,DL-Glutamic acid,-0.04166034130007959,0.20931212974484736,3.632787911856801e-4,0.008720014763416882,164
Liver,L-Pyroglutamic acid,-0.04166034130007959,0.20931212974484736,3.632787911856801e-4,0.008720014763416882,165
Liver,15beta-Hydroxydesogestrel,-0.0416499780934877,0.20931212974484736,3.63098079036021e-4,0.008717845618574149,166
Liver,asn-phe,-0.041603598075657264,0.20931212974484736,3.6228986161814555e-4,0.008708137718264456,167
Liver,Prostaglandin D2,0.041596660556074326,0.20931212974484736,3.621690459402635e-4,0.008706685611265403,168
Liver,"(E,E)-2,4-Dodecadienal",-0.041500346207136406,0.20931212974484736,3.6049383010245485e-4,0.00868652584976422,169
Liver,"Octadeca-2,4,6,8-tetraenoic acid",-0.04149963475493537,0.20931212974484736,3.604814701125309e-4,0.008686376934188809,170
Liver,Acetyllycopsamine,0.04149535064832681,0.20931212974484736,3.6040704722449914e-4,0.008685480218710517,171
Liver,Flavidulol C,0.04147738138650249,0.20931212974484736,3.600949714739676e-4,0.008681719034248126,172
Liver,glu-thr,-0.04147656401243215,0.20931212974484736,3.6008077918976006e-4,0.008681547947940666,173
Liver,Uridine diphosphate-N-acetylgalactosamine,0.041460621000970053,0.20931212974484736,3.598040123557509e-4,0.008678210882256987,174
Liver,"1,6,7-Trimethylnaphthalene",-0.04145020640275373,0.20931212974484736,3.5962327489940114e-4,0.00867603098052389,175
Liver,Trehalose 6-phosphate,0.041293148703318024,0.20931212974484736,3.569031630949543e-4,0.008643156898962178,176
Liver,"ethyl (E)-2-cyano-3-(2,5-dichloroanilino)prop-2-enoate",-0.041286857154523744,0.20931212974484736,3.567944136935462e-4,0.008641840001484654,177
Liver,ADP-glucose,0.04127658634045515,0.20931212974484736,3.566169183100719e-4,0.008639690195517743,178
Liver,Uridine 5'-monophosphate,0.041216475040520895,0.20931212974484736,3.5557898861453946e-4,0.008627108171306772,179
Liver,14(S)-HDHA,-0.041187969554652155,0.20931212974484736,3.5508731887364333e-4,0.008621141627350176,180
Liver,"PE(18:0/18:2(9Z,12Z))",0.041156153756579696,0.20931212974484736,3.545389537464619e-4,0.008614482194896097,181
Liver,11(R)-HETE,-0.041147089606992295,0.20931212974484736,3.5438280503283183e-4,0.008612584958441631,182
Liver,"DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)",-0.0411340700668084,0.20931212974484736,3.5415857672109436e-4,0.008609859810757443,183
Liver,"PG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.04112269180389449,0.20931212974484736,3.5396267332250396e-4,0.008607478202314134,184
Liver,Glycogen,0.04109722284643325,0.20931212974484736,3.535243621041749e-4,0.008602147240585542,185
Liver,Phenylalanylphenylalanine,-0.04108322301653189,0.20931212974484736,3.5328354593204607e-4,0.008599216906372822,186
Liver,Ethyl glucuronide,0.04107066203027851,0.20931212974484736,3.530675496662724e-4,0.008596587739588431,187
Liver,17-(4-Hydroxyphenyl)heptadecanoic acid,0.041016990991945806,0.20931212974484736,3.521453770264777e-4,0.008585353740249397,188
Liver,SM(d18:1/22:0),0.04097739045529964,0.20931212974484736,3.5146573603946134e-4,0.008577064867584949,189
