"ontology","ID","Description","age_direction","age_NES","age_p.adjust","age_setSize","diet_direction","diet_NES","diet_p.adjust","diet_setSize","NES_delta","abs_NES_delta","direction_switch","NES_change_class","best_p.adjust","worst_p.adjust"
"BP","GO:0071706","tumor necrosis factor superfamily cytokine production","Down",-1.9548042047078,3.69067878454726e-05,159,"Up",1.92634157518049,0.000194794669602139,164,3.88114577988829,3.88114577988829,TRUE,"Switched: young-down, ID-up",3.69067878454726e-05,0.000194794669602139
"BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","Down",-1.9548042047078,3.69067878454726e-05,159,"Up",1.92634157518049,0.000194794669602139,164,3.88114577988829,3.88114577988829,TRUE,"Switched: young-down, ID-up",3.69067878454726e-05,0.000194794669602139
"BP","GO:0002366","leukocyte activation involved in immune response","Down",-2.01689422974773,2.94093964767751e-07,240,"Up",1.86290424995913,8.22545532821132e-05,253,3.87979847970685,3.87979847970685,TRUE,"Switched: young-down, ID-up",2.94093964767751e-07,8.22545532821132e-05
"BP","GO:0002697","regulation of immune effector process","Down",-2.1564746387628,3.99897955129846e-11,327,"Up",1.7207260708652,0.000192968731211072,344,3.87720070962801,3.87720070962801,TRUE,"Switched: young-down, ID-up",3.99897955129846e-11,0.000192968731211072
"BP","GO:0071677","positive regulation of mononuclear cell migration","Down",-2.07178348073813,0.000145877203089042,80,"Up",1.80540583935349,0.0150778227858092,82,3.87718932009162,3.87718932009162,TRUE,"Switched: young-down, ID-up",0.000145877203089042,0.0150778227858092
"BP","GO:0032613","interleukin-10 production","Down",-1.8867826710633,0.0043013355594793,44,"Up",1.97225734346366,0.0138309256125966,45,3.85904001452695,3.85904001452695,TRUE,"Switched: young-down, ID-up",0.0043013355594793,0.0138309256125966
"BP","GO:0032653","regulation of interleukin-10 production","Down",-1.8867826710633,0.0043013355594793,44,"Up",1.97225734346366,0.0138309256125966,45,3.85904001452695,3.85904001452695,TRUE,"Switched: young-down, ID-up",0.0043013355594793,0.0138309256125966
"BP","GO:0002468","dendritic cell antigen processing and presentation","Down",-1.85629957761421,0.0210319077839239,13,"Up",2.00200398539313,0.021198787114942,14,3.85830356300734,3.85830356300734,TRUE,"Switched: young-down, ID-up",0.0210319077839239,0.021198787114942
"BP","GO:0002263","cell activation involved in immune response","Down",-1.98393606349222,5.43855102257044e-07,243,"Up",1.87306130569443,4.34914897886328e-05,256,3.85699736918665,3.85699736918665,TRUE,"Switched: young-down, ID-up",5.43855102257044e-07,4.34914897886328e-05
"BP","GO:0032640","tumor necrosis factor production","Down",-1.96268229534932,1.98539004536475e-05,157,"Up",1.88292603924338,0.00089155170544882,162,3.8456083345927,3.8456083345927,TRUE,"Switched: young-down, ID-up",1.98539004536475e-05,0.00089155170544882
"BP","GO:0032680","regulation of tumor necrosis factor production","Down",-1.96268229534932,1.98539004536475e-05,157,"Up",1.88292603924338,0.00089155170544882,162,3.8456083345927,3.8456083345927,TRUE,"Switched: young-down, ID-up",1.98539004536475e-05,0.00089155170544882
"BP","GO:0002438","acute inflammatory response to antigenic stimulus","Down",-1.83770157234906,0.0212732120360899,22,"Up",2.00143348211342,0.0238145778428679,25,3.83913505446249,3.83913505446249,TRUE,"Switched: young-down, ID-up",0.0212732120360899,0.0238145778428679
"BP","GO:0070486","leukocyte aggregation","Down",-2.11546765430811,0.00151699187441781,17,"Up",1.70760062765994,0.0980575094295094,17,3.82306828196805,3.82306828196805,TRUE,"Switched: young-down, ID-up",0.00151699187441781,0.0980575094295094
