Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
AdultUterus_Endothelial cell	Adult	Reproductive system	AdultUterus	Endothelial cell	Endothelial cell	CL:0000115	Uterus	UBERON:0000995	5.24445770716056e-28	4.11708882651482e-05	0.35719557195572	0.000178344068102798	3.74874133114236	NA
TS_Lung_cd4-positive alpha-beta t cell	Adult	Respiratory system	TS_Lung	cd4-positive alpha-beta t cell	T cell	CL:0000084	Lung	UBERON:0002048	6.78584663002246e-28	4.11708882651482e-05	0.358671586715867	0.000179020132840324	3.74709812494311	NA
AdultSigmoidColon_Dendritic cell	Adult	Digestive system	AdultSigmoidColon	Dendritic cell	Dendritic cell	CL:0000451	Sigmoid colon	UBERON:0001159	6.91217730086187e-28	4.11708882651482e-05	0.359409594095941	0.000179358071365487	3.74627907468571	NA
CordBloodCD34P_Antigen presenting cell (RPS high)	Neonatal	Reproductive system	CordBloodCD34P	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Umbilical cord blood	UBERON:0012168	7.59885949220723e-28	4.11708882651482e-05	0.360147601476015	0.000179695947499559	3.74546171698354	NA
van_Zyl_eye_2020_BCell	Adult	Sensory system	van_Zyl_eye_2020	BCell	B cell	CL:0000236	Eye	UBERON:0000970	1.26687613897686e-27	4.11708882651482e-05	0.361623616236162	0.00018037151310546	3.74383205148373	NA
CordBloodCD34P_Erythroid progenitor cell (RP high)	Neonatal	Reproductive system	CordBloodCD34P	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Umbilical cord blood	UBERON:0012168	2.09378669414482e-27	4.11708882651482e-05	0.362361623616236	0.000180709202831419	3.74301972991205	NA
AdultFallopiantube_Macrophage	Adult	Reproductive system	AdultFallopiantube	Macrophage	Macrophage	CL:0000235	Fallopian tube	UBERON:0003889	2.48274848584014e-27	4.11708882651482e-05	0.36309963099631	0.000181046830674658	3.74220907334658	NA
Lake_2017_CerebellarHemisphere_Mic	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Mic	Microglial cell	CL:0000129	Cerebellar hemisphere	UBERON:0002245	2.72384199439999e-27	4.11708882651482e-05	0.363837638376384	0.000181384396760853	3.74140007500534	NA
NeonatalAdrenalGland_Fasciculata cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369	4.86263902356998e-27	4.11708882651482e-05	0.366051660516605	0.000182396725727618	3.73898296212159	NA
AdultKidney_Monocyte	Adult	Urinary system	AdultKidney	Monocyte	Monocyte	CL:0000576	Kidney	UBERON:0002113	6.40892682270273e-27	4.11708882651482e-05	0.367527675276753	0.000183071305203675	3.73737972215546	NA
